customer_id,signup_date,country,segment
100103,2025-07-03,Sweden,Enterprise
100104,2025-11-27,Germany,Enterprise
100105,2025-10-26,France,Enterprise
100106,2025-07-04,United Kingdom,Consumer
100107,2025-05-28,United Kingdom,SMB
100108,2025-07-15,United Kingdom,SMB
100109,2025-11-15,Italy,SMB
100110,2024-01-08,United Kingdom,Mid-Market
100111,2025-03-06,United Kingdom,Mid-Market
100112,2024-01-25,United Kingdom,Consumer
100113,2025-02-25,United Kingdom,SMB
100114,2024-10-15,United Kingdom,Enterprise
100115,2024-08-10,Spain,SMB
100116,2025-10-13,Germany,Mid-Market
100117,2025-06-02,France,Consumer
100118,2025-02-18,United Kingdom,SMB
100119,2025-10-06,Ireland,SMB
100120,2024-03-12,United Kingdom,Mid-Market
100121,2025-04-17,Ireland,Consumer
100122,2024-04-24,United Kingdom,SMB
100123,2024-06-19,United Kingdom,Consumer
100124,2024-05-15,United Kingdom,Consumer
100125,2025-02-01,United Kingdom,Consumer
100126,2025-04-04,United Kingdom,SMB
100127,2025-07-06,United Kingdom,Consumer
100128,2024-11-18,United Kingdom,SMB
100129,2025-11-17,United Kingdom,Consumer
100130,2024-09-30,United Kingdom,Mid-Market
100131,2024-04-24,Italy,SMB
100132,2024-01-27,United Kingdom,SMB
100133,2024-04-03,United Kingdom,Consumer
100134,2024-11-21,United Kingdom,Consumer
100135,2024-10-28,United Kingdom,Mid-Market
100136,2025-09-16,Belgium,Mid-Market
100137,2024-04-01,United Kingdom,Consumer
100138,2024-07-10,Germany,Consumer
100139,2025-12-17,United Kingdom,Consumer
100140,2024-01-21,United Kingdom,Mid-Market
100141,2024-11-06,United Kingdom,Enterprise
100142,2024-05-24,Belgium,Consumer
100143,2025-01-25,United Kingdom,SMB
100144,2025-12-12,United Kingdom,Mid-Market
100145,2024-06-15,United Kingdom,SMB
100146,2024-09-27,United Kingdom,Mid-Market
100147,2024-11-24,United Kingdom,Consumer
100148,2025-08-06,United Kingdom,SMB
100149,2025-12-20,United Kingdom,Mid-Market
100150,2024-03-11,Netherlands,SMB
100151,2024-12-23,Italy,Consumer
100152,2025-07-04,United Kingdom,Consumer
100153,2024-01-07,United Kingdom,Mid-Market
100154,2025-08-12,United Kingdom,Consumer
100155,2024-06-26,France,SMB
100156,2025-01-13,United Kingdom,Consumer
100157,2025-12-16,France,Consumer
100158,2025-04-09,France,SMB
100159,2025-12-24,Germany,Consumer
100160,2025-03-17,United Kingdom,SMB
100161,2024-06-02,Italy,Enterprise
100162,2025-05-21,United Kingdom,SMB
100163,2025-03-25,United Kingdom,Consumer
100164,2024-08-15,United Kingdom,SMB
100165,2024-02-26,United Kingdom,SMB
100166,2025-04-18,Netherlands,Mid-Market
100167,2025-02-26,Netherlands,Consumer
100168,2025-07-19,United Kingdom,SMB
100169,2024-04-02,Belgium,Enterprise
100170,2025-01-28,United Kingdom,Mid-Market
100171,2025-08-21,United Kingdom,Consumer
100172,2025-10-13,United Kingdom,SMB
100173,2025-11-17,Belgium,Mid-Market
100174,2024-06-03,United Kingdom,Consumer
100175,2024-05-06,United Kingdom,SMB
100176,2025-02-25,United Kingdom,Mid-Market
100177,2024-12-04,Norway,Consumer
100178,2024-06-20,Italy,SMB
100179,2024-03-15,Germany,Mid-Market
100180,2024-04-14,Italy,SMB
100181,2024-09-04,Italy,Consumer
100182,2025-06-24,United Kingdom,Consumer
100183,2024-02-17,United Kingdom,Enterprise
100184,2024-03-17,Germany,Enterprise
100185,2024-07-12,France,Mid-Market
100186,2025-09-30,United Kingdom,SMB
100187,2025-12-24,United Kingdom,SMB
100188,2024-11-17,Germany,SMB
100189,2024-02-02,United Kingdom,SMB
100190,2024-01-09,Belgium,Consumer
100191,2025-09-19,United Kingdom,SMB
100192,2024-11-21,United Kingdom,SMB
100193,2024-02-26,Netherlands,Mid-Market
100194,2025-09-01,United Kingdom,SMB
100195,2025-01-21,United Kingdom,SMB
100196,2024-09-12,United Kingdom,SMB
100197,2024-11-26,Spain,SMB
100198,2024-06-13,United Kingdom,Mid-Market
100199,2025-11-11,United Kingdom,Consumer
100200,2025-07-29,Germany,Consumer
100201,2024-05-25,Sweden,Consumer
100202,2025-06-21,United Kingdom,Enterprise
100203,2024-05-11,United Kingdom,Consumer
100204,2024-11-27,United Kingdom,Mid-Market
100205,2025-07-01,United Kingdom,Enterprise
100206,2024-01-27,United Kingdom,Mid-Market
100207,2025-06-14,France,SMB
100208,2024-06-14,United Kingdom,SMB
100209,2025-05-26,United Kingdom,SMB
100210,2024-12-30,France,Consumer
100211,2024-01-20,United Kingdom,SMB
100212,2025-07-10,United Kingdom,Consumer
100213,2024-07-09,Netherlands,Consumer
100214,2025-11-27,France,Mid-Market
100215,2025-09-05,Germany,SMB
100216,2024-05-20,United Kingdom,Mid-Market
100217,2025-03-15,United Kingdom,SMB
100218,2024-09-21,Italy,Consumer
100219,2025-03-16,United Kingdom,Consumer
100220,2025-02-11,United Kingdom,Consumer
100221,2024-08-04,United Kingdom,Mid-Market
100222,2025-04-21,France,Consumer
100223,2024-07-09,Belgium,Consumer
100224,2025-10-25,United Kingdom,SMB
100225,2025-11-22,Italy,SMB
100226,2024-05-01,United Kingdom,SMB
100227,2025-06-15,United Kingdom,Mid-Market
100228,2025-11-10,Ireland,Consumer
100229,2024-04-02,United Kingdom,Enterprise
100230,2025-06-24,United Kingdom,Mid-Market
100231,2025-11-16,United Kingdom,Consumer
100232,2024-06-13,Sweden,SMB
100233,2025-03-01,United Kingdom,SMB
100234,2025-08-06,Belgium,Consumer
100235,2024-08-31,Netherlands,Consumer
100236,2024-06-22,United Kingdom,Consumer
100237,2024-10-17,Germany,SMB
100238,2024-09-02,United Kingdom,Consumer
100239,2025-06-14,United Kingdom,Consumer
100240,2024-09-28,Netherlands,Consumer
100241,2024-10-02,Germany,SMB
100242,2025-11-21,United Kingdom,Mid-Market
100243,2025-02-27,United Kingdom,Consumer
100244,2025-11-10,United Kingdom,Consumer
100245,2025-06-03,Spain,Mid-Market
100246,2025-10-09,United Kingdom,Mid-Market
100247,2024-05-22,United Kingdom,Consumer
100248,2025-11-16,United Kingdom,Mid-Market
100249,2025-11-21,United Kingdom,Mid-Market
100250,2024-01-30,France,SMB
100251,2024-09-17,Spain,SMB
100252,2024-10-29,United Kingdom,Consumer
100253,2024-11-02,United Kingdom,SMB
100254,2025-07-23,United Kingdom,SMB
100255,2025-05-25,Germany,Consumer
100256,2024-06-04,Netherlands,Consumer
100257,2025-03-21,United Kingdom,SMB
100258,2025-12-13,United Kingdom,SMB
100259,2024-11-17,United Kingdom,Consumer
100260,2025-11-09,United Kingdom,Mid-Market
100261,2025-04-19,Netherlands,Mid-Market
100262,2025-11-07,United Kingdom,Mid-Market
100263,2025-10-21,United Kingdom,SMB
100264,2024-01-13,Italy,Consumer
100265,2025-08-08,United Kingdom,SMB
100266,2024-05-18,United Kingdom,Mid-Market
100267,2025-08-25,United Kingdom,SMB
100268,2025-08-13,United Kingdom,SMB
100269,2024-07-07,United Kingdom,SMB
100270,2024-02-18,United Kingdom,Consumer
100271,2024-11-02,United Kingdom,SMB
100272,2024-08-09,United Kingdom,SMB
100273,2025-02-08,United Kingdom,SMB
100274,2024-02-29,France,Consumer
100275,2024-02-02,United Kingdom,Mid-Market
100276,2024-11-15,United Kingdom,Consumer
100277,2025-07-16,United Kingdom,Consumer
100278,2024-08-18,Spain,Mid-Market
100279,2024-08-24,Spain,Consumer
100280,2024-04-29,United Kingdom,SMB
100281,2024-07-25,United Kingdom,Consumer
100282,2024-08-06,United Kingdom,Consumer
100283,2024-07-08,United Kingdom,SMB
100284,2024-09-08,United Kingdom,Enterprise
100285,2024-07-26,United Kingdom,SMB
100286,2025-05-12,United Kingdom,Mid-Market
100287,2024-09-04,United Kingdom,Consumer
100288,2025-07-05,United Kingdom,Consumer
100289,2025-03-18,United Kingdom,SMB
100290,2025-04-13,Netherlands,Consumer
100291,2025-03-02,United Kingdom,Consumer
100292,2025-11-05,Italy,SMB
100293,2024-07-05,United Kingdom,Enterprise
100294,2025-12-19,Netherlands,Consumer
100295,2024-05-30,Italy,Consumer
100296,2024-04-11,Sweden,Consumer
100297,2025-08-27,Netherlands,SMB
100298,2025-10-16,Germany,SMB
100299,2024-03-08,Ireland,SMB
100300,2025-03-14,Germany,SMB
100301,2025-01-09,United Kingdom,Mid-Market
100302,2024-06-09,United Kingdom,Consumer
100303,2025-01-15,United Kingdom,Mid-Market
100304,2025-05-16,Spain,Consumer
100305,2025-02-23,United Kingdom,Mid-Market
100306,2025-01-14,United Kingdom,SMB
100307,2025-10-09,Ireland,Consumer
100308,2024-06-13,United Kingdom,Consumer
100309,2025-04-01,United Kingdom,Mid-Market
100310,2024-08-19,United Kingdom,Consumer
100311,2025-12-12,United Kingdom,Mid-Market
100312,2024-07-02,United Kingdom,SMB
100313,2025-09-28,United Kingdom,Mid-Market
100314,2025-04-07,United Kingdom,Consumer
100315,2024-06-05,United Kingdom,Mid-Market
100316,2025-07-08,United Kingdom,Consumer
100317,2024-06-25,France,Mid-Market
100318,2024-07-10,United Kingdom,Mid-Market
100319,2024-09-09,Belgium,Consumer
100320,2025-05-13,Italy,Mid-Market
100321,2024-10-13,United Kingdom,Mid-Market
100322,2025-02-20,United Kingdom,SMB
100323,2025-02-08,United Kingdom,Mid-Market
100324,2024-05-23,Netherlands,Mid-Market
100325,2024-06-18,France,SMB
100326,2024-08-12,Netherlands,Mid-Market
100327,2024-06-11,United Kingdom,SMB
100328,2025-11-02,Ireland,SMB
100329,2024-10-05,United Kingdom,Mid-Market
100330,2024-10-22,Germany,SMB
100331,2025-05-06,United Kingdom,Enterprise
100332,2025-07-30,France,Consumer
100333,2025-05-18,Spain,SMB
100334,2025-02-06,United Kingdom,SMB
100335,2025-12-14,United Kingdom,Mid-Market
100336,2025-10-19,United Kingdom,SMB
100337,2024-05-27,France,Mid-Market
100338,2024-04-26,United Kingdom,Consumer
100339,2024-10-14,Belgium,Enterprise
100340,2025-09-02,United Kingdom,Mid-Market
100341,2025-12-06,Belgium,Consumer
100342,2025-05-28,Netherlands,SMB
100343,2025-05-19,United Kingdom,Consumer
100344,2024-06-19,Germany,Consumer
100345,2025-03-08,Germany,Mid-Market
100346,2024-05-14,Belgium,SMB
100347,2025-01-29,United Kingdom,SMB
100348,2024-05-21,United Kingdom,Consumer
100349,2024-02-25,United Kingdom,SMB
100350,2025-12-08,United Kingdom,Consumer
100351,2025-10-15,United Kingdom,Mid-Market
100352,2025-05-15,United Kingdom,Mid-Market
100353,2025-04-02,United Kingdom,Enterprise
100354,2024-06-24,United Kingdom,SMB
100355,2025-02-21,United Kingdom,Mid-Market
100356,2025-06-30,Germany,Consumer
100357,2025-01-29,Germany,SMB
100358,2024-07-25,United Kingdom,Consumer
100359,2024-10-13,United Kingdom,Consumer
100360,2025-09-06,Belgium,SMB
100361,2024-07-05,United Kingdom,Mid-Market
100362,2025-12-03,United Kingdom,SMB
100363,2025-07-06,United Kingdom,Enterprise
100364,2025-10-12,France,Consumer
100365,2025-01-07,United Kingdom,Consumer
100366,2024-06-12,Germany,Consumer
100367,2024-01-25,France,SMB
100368,2025-01-26,United Kingdom,Mid-Market
100369,2024-10-18,Italy,SMB
100370,2024-03-24,Germany,Consumer
100371,2025-11-09,United Kingdom,SMB
100372,2025-12-10,United Kingdom,SMB
100373,2024-09-30,United Kingdom,SMB
100374,2025-05-03,United Kingdom,SMB
100375,2024-10-29,United Kingdom,SMB
100376,2024-12-29,Belgium,SMB
100377,2025-04-01,United Kingdom,Consumer
100378,2024-10-31,United Kingdom,Consumer
100379,2025-08-09,France,SMB
100380,2024-05-18,United Kingdom,Consumer
100381,2025-05-03,Belgium,Mid-Market
100382,2025-12-19,Germany,Consumer
100383,2025-09-13,United Kingdom,SMB
100384,2024-02-03,United Kingdom,Mid-Market
100385,2024-03-24,Norway,Mid-Market
100386,2025-04-04,France,SMB
100387,2025-11-06,Belgium,Mid-Market
100388,2025-09-08,United Kingdom,Consumer
100389,2025-10-22,Spain,Consumer
100390,2024-04-19,Ireland,Mid-Market
100391,2025-01-14,United Kingdom,Mid-Market
100392,2025-06-14,United Kingdom,Consumer
100393,2025-04-01,France,SMB
100394,2025-07-22,United Kingdom,SMB
100395,2024-06-04,United Kingdom,Mid-Market
100396,2024-11-30,Netherlands,SMB
100397,2024-11-23,United Kingdom,Mid-Market
100398,2025-11-18,United Kingdom,SMB
100399,2024-05-28,United Kingdom,Mid-Market
100400,2024-08-26,United Kingdom,Consumer
100401,2024-01-17,Italy,Consumer
100402,2024-04-20,Germany,Consumer
100403,2025-12-18,United Kingdom,Mid-Market
100404,2025-09-11,Norway,Consumer
100405,2024-07-08,Spain,Consumer
100406,2025-05-28,United Kingdom,Mid-Market
100407,2025-03-09,Netherlands,SMB
100408,2025-10-24,United Kingdom,Enterprise
100409,2024-08-07,Norway,Mid-Market
100410,2025-12-27,France,Consumer
100411,2024-09-27,France,Consumer
100412,2025-06-08,United Kingdom,Consumer
100413,2024-10-17,Italy,Consumer
100414,2025-05-05,United Kingdom,Enterprise
100415,2024-09-01,United Kingdom,Consumer
100416,2025-09-08,United Kingdom,Consumer
100417,2025-04-10,Germany,SMB
100418,2024-07-30,United Kingdom,Enterprise
100419,2025-12-03,Italy,SMB
100420,2025-06-02,France,SMB
100421,2024-11-09,United Kingdom,SMB
100422,2024-04-09,United Kingdom,Mid-Market
100423,2025-12-12,United Kingdom,SMB
100424,2025-07-05,United Kingdom,SMB
100425,2025-05-03,Netherlands,SMB
100426,2025-09-01,United Kingdom,Consumer
100427,2025-03-19,Netherlands,Consumer
100428,2024-06-18,United Kingdom,Consumer
100429,2024-06-22,Netherlands,Mid-Market
100430,2024-02-27,Italy,SMB
100431,2024-02-15,Germany,Consumer
100432,2025-06-16,France,SMB
100433,2025-09-14,Netherlands,Consumer
100434,2024-04-29,United Kingdom,Consumer
100435,2025-02-23,United Kingdom,Mid-Market
100436,2024-03-31,United Kingdom,SMB
100437,2024-10-29,United Kingdom,SMB
100438,2025-08-01,Germany,Mid-Market
100439,2025-08-16,Ireland,Mid-Market
100440,2025-11-24,Spain,Consumer
100441,2024-08-15,United Kingdom,Enterprise
100442,2025-11-24,Germany,Mid-Market
100443,2025-07-26,United Kingdom,SMB
100444,2024-09-04,United Kingdom,Mid-Market
100445,2024-08-27,France,SMB
100446,2024-03-19,Norway,Consumer
100447,2025-11-04,United Kingdom,Enterprise
100448,2024-05-28,United Kingdom,Consumer
100449,2024-07-14,United Kingdom,Mid-Market
100450,2024-10-28,United Kingdom,SMB
100451,2024-04-10,Spain,Consumer
100452,2025-08-12,France,Consumer
100453,2025-05-25,United Kingdom,Consumer
100454,2024-04-24,United Kingdom,Mid-Market
100455,2024-04-29,United Kingdom,Consumer
100456,2024-01-17,Norway,SMB
100457,2025-11-24,United Kingdom,Mid-Market
100458,2024-11-14,Germany,Consumer
100459,2025-04-24,Ireland,SMB
100460,2024-04-19,United Kingdom,Consumer
100461,2024-06-17,United Kingdom,Mid-Market
100462,2025-01-30,Belgium,SMB
100463,2024-06-01,United Kingdom,SMB
100464,2025-03-24,United Kingdom,Consumer
100465,2025-11-06,France,Consumer
100466,2024-08-11,Ireland,SMB
100467,2025-03-20,Belgium,SMB
100468,2025-10-31,United Kingdom,SMB
100469,2025-10-15,United Kingdom,SMB
100470,2024-01-06,United Kingdom,Consumer
100471,2024-03-21,United Kingdom,SMB
100472,2025-12-21,United Kingdom,SMB
100473,2025-11-07,United Kingdom,SMB
100474,2024-08-23,United Kingdom,Mid-Market
100475,2025-01-15,United Kingdom,Consumer
100476,2025-02-22,United Kingdom,Consumer
100477,2025-05-03,United Kingdom,Mid-Market
100478,2025-07-02,Ireland,Consumer
100479,2024-09-29,United Kingdom,Mid-Market
100480,2025-10-12,United Kingdom,Consumer
100481,2024-02-13,United Kingdom,Enterprise
100482,2024-01-24,United Kingdom,SMB
100483,2025-12-01,United Kingdom,Consumer
100484,2024-05-09,United Kingdom,Mid-Market
100485,2025-12-28,United Kingdom,Consumer
100486,2024-07-28,United Kingdom,SMB
100487,2024-09-23,United Kingdom,Mid-Market
100488,2024-01-21,United Kingdom,Consumer
100489,2025-11-20,United Kingdom,SMB
100490,2024-09-19,France,SMB
100491,2024-05-02,Ireland,SMB
100492,2024-12-19,France,Mid-Market
100493,2024-04-23,United Kingdom,Consumer
100494,2025-07-31,Germany,Enterprise
100495,2024-02-23,United Kingdom,Consumer
100496,2024-12-30,United Kingdom,Mid-Market
100497,2024-10-13,Ireland,Mid-Market
100498,2024-01-28,United Kingdom,SMB
100499,2024-02-08,United Kingdom,SMB
100500,2025-01-14,Germany,Consumer
100501,2024-10-15,Spain,SMB
100502,2024-04-04,Italy,SMB
100503,2024-04-11,United Kingdom,Consumer
100504,2025-08-11,United Kingdom,Mid-Market
100505,2025-06-18,Germany,SMB
100506,2025-03-20,United Kingdom,Consumer
100507,2025-09-01,Netherlands,Mid-Market
100508,2024-02-20,United Kingdom,Consumer
100509,2025-05-17,United Kingdom,Consumer
100510,2025-07-04,United Kingdom,SMB
100511,2024-05-26,Netherlands,SMB
100512,2025-01-27,United Kingdom,SMB
100513,2025-07-14,United Kingdom,Consumer
100514,2025-03-17,United Kingdom,Mid-Market
100515,2024-07-01,United Kingdom,Consumer
100516,2025-04-30,United Kingdom,Mid-Market
100517,2025-07-09,Germany,SMB
100518,2024-01-08,United Kingdom,SMB
100519,2025-02-18,Netherlands,SMB
100520,2025-01-03,Spain,Mid-Market
100521,2024-09-25,United Kingdom,Mid-Market
100522,2024-02-02,United Kingdom,Consumer
100523,2024-03-02,United Kingdom,SMB
100524,2025-07-02,United Kingdom,Consumer
100525,2025-08-27,United Kingdom,SMB
100526,2024-11-02,Belgium,Consumer
100527,2025-11-17,Norway,SMB
100528,2025-11-09,Germany,Consumer
100529,2025-05-01,United Kingdom,SMB
100530,2025-02-28,France,SMB
100531,2025-12-06,France,Mid-Market
100532,2025-03-21,United Kingdom,Mid-Market
100533,2025-11-13,Ireland,Mid-Market
100534,2025-12-16,United Kingdom,SMB
100535,2024-05-22,United Kingdom,Consumer
100536,2025-04-27,United Kingdom,SMB
100537,2025-06-18,United Kingdom,Mid-Market
100538,2025-08-22,United Kingdom,Consumer
100539,2024-09-12,Netherlands,Consumer
100540,2025-09-21,Norway,SMB
100541,2024-12-22,United Kingdom,Mid-Market
100542,2024-10-09,Netherlands,SMB
100543,2024-04-24,Norway,Mid-Market
100544,2024-08-22,United Kingdom,Mid-Market
100545,2025-12-13,United Kingdom,Consumer
100546,2025-06-07,United Kingdom,Consumer
100547,2025-06-14,United Kingdom,SMB
100548,2025-10-16,Germany,SMB
100549,2024-07-14,United Kingdom,Mid-Market
100550,2025-04-28,United Kingdom,Mid-Market
100551,2024-09-28,United Kingdom,Mid-Market
100552,2025-09-11,United Kingdom,Enterprise
100553,2024-11-04,Italy,Mid-Market
100554,2025-09-16,United Kingdom,Consumer
100555,2025-06-30,United Kingdom,Mid-Market
100556,2025-07-18,United Kingdom,SMB
100557,2025-11-07,United Kingdom,SMB
100558,2025-07-31,United Kingdom,Enterprise
100559,2024-08-22,United Kingdom,SMB
100560,2025-01-16,United Kingdom,SMB
100561,2024-12-11,United Kingdom,SMB
100562,2024-02-17,Netherlands,Consumer
100563,2025-03-09,Ireland,Consumer
100564,2024-11-15,Ireland,Mid-Market
100565,2024-10-14,France,SMB
100566,2024-03-21,Germany,Mid-Market
100567,2025-01-03,United Kingdom,Mid-Market
100568,2025-02-27,United Kingdom,Consumer
100569,2024-03-18,United Kingdom,Mid-Market
100570,2025-04-09,United Kingdom,Consumer
100571,2024-05-02,Netherlands,Consumer
100572,2024-04-15,United Kingdom,Enterprise
100573,2024-10-20,Germany,SMB
100574,2024-10-11,Spain,Enterprise
100575,2025-10-30,United Kingdom,Mid-Market
100576,2024-02-19,Italy,Mid-Market
100577,2024-09-12,United Kingdom,Consumer
100578,2025-06-20,Spain,SMB
100579,2024-07-01,United Kingdom,Mid-Market
100580,2025-12-18,United Kingdom,SMB
100581,2025-06-27,United Kingdom,SMB
100582,2025-11-22,United Kingdom,Enterprise
100583,2025-11-24,United Kingdom,Consumer
100584,2024-03-20,Italy,Enterprise
100585,2024-12-01,Ireland,SMB
100586,2025-06-28,United Kingdom,SMB
100587,2024-01-07,United Kingdom,Mid-Market
100588,2024-11-26,United Kingdom,Mid-Market
100589,2025-05-18,United Kingdom,Consumer
100590,2025-08-02,Italy,Enterprise
100591,2024-10-30,United Kingdom,Consumer
100592,2025-09-22,United Kingdom,Consumer
100593,2025-05-07,United Kingdom,Mid-Market
100594,2024-02-03,United Kingdom,Enterprise
100595,2024-07-22,United Kingdom,Consumer
100596,2025-11-16,France,Consumer
100597,2024-01-02,Ireland,Mid-Market
100598,2024-03-19,Norway,Enterprise
100599,2024-09-08,Ireland,Mid-Market
100600,2025-12-27,United Kingdom,Consumer
100601,2025-05-30,Germany,Consumer
100602,2024-04-17,Italy,Consumer
100603,2024-10-14,France,SMB
100604,2025-11-17,Sweden,SMB
100605,2024-06-09,Germany,Consumer
100606,2025-02-24,Spain,Enterprise
100607,2024-12-05,United Kingdom,Consumer
100608,2025-07-09,Germany,SMB
100609,2025-07-03,United Kingdom,Consumer
100610,2025-09-01,United Kingdom,Consumer
100611,2024-03-28,France,SMB
100612,2024-11-27,Sweden,SMB
100613,2025-05-20,Norway,Consumer
100614,2024-11-02,United Kingdom,SMB
100615,2025-05-02,Germany,Consumer
100616,2025-04-09,Germany,Mid-Market
100617,2024-09-28,United Kingdom,Mid-Market
100618,2024-03-14,United Kingdom,SMB
100619,2025-12-10,United Kingdom,Consumer
100620,2025-08-26,Germany,Consumer
100621,2025-10-16,United Kingdom,Consumer
100622,2024-08-07,Norway,Consumer
100623,2024-08-19,United Kingdom,Mid-Market
100624,2024-08-24,Sweden,Consumer
100625,2024-01-23,United Kingdom,Mid-Market
100626,2024-05-04,Germany,Mid-Market
100627,2024-08-13,United Kingdom,SMB
100628,2025-12-22,United Kingdom,SMB
100629,2024-05-29,Netherlands,Consumer
100630,2025-01-06,Italy,SMB
100631,2025-02-04,Netherlands,Consumer
100632,2024-09-20,United Kingdom,Consumer
100633,2025-11-02,United Kingdom,Mid-Market
100634,2024-03-09,United Kingdom,SMB
100635,2025-09-28,United Kingdom,Consumer
100636,2025-06-27,France,SMB
100637,2024-08-11,France,Consumer
100638,2025-07-15,Germany,Mid-Market
100639,2024-11-09,Spain,Mid-Market
100640,2025-12-10,Germany,Mid-Market
100641,2024-01-27,Netherlands,Mid-Market
100642,2024-01-22,United Kingdom,SMB
100643,2025-02-01,United Kingdom,SMB
100644,2025-11-11,Ireland,Mid-Market
100645,2024-02-16,Spain,Consumer
100646,2025-07-22,United Kingdom,SMB
100647,2025-11-17,United Kingdom,SMB
100648,2024-12-21,France,SMB
100649,2025-09-25,United Kingdom,Mid-Market
100650,2025-07-07,United Kingdom,SMB
100651,2024-06-05,Italy,Consumer
100652,2025-09-16,France,SMB
100653,2025-05-26,United Kingdom,Consumer
100654,2024-01-10,Spain,SMB
100655,2025-02-19,United Kingdom,Mid-Market
100656,2025-04-23,Spain,SMB
100657,2025-08-08,United Kingdom,Consumer
100658,2025-07-17,United Kingdom,Consumer
100659,2024-12-13,United Kingdom,SMB
100660,2024-08-06,United Kingdom,Consumer
100661,2024-05-20,Spain,SMB
100662,2024-03-06,United Kingdom,Mid-Market
