date,channel,revenue,orders,spend_channel_gbp,cac_proxy_channel
2024-01-22,Paid Search,3733.01,56,684.78,12.23
2024-01-22,Paid Social,2667.78,39,466.81,11.97
2024-01-23,Affiliates,463.19,8,132.94,16.62
2024-01-23,Email,783.61,10,194.14,19.41
2024-01-23,Organic,2782.9100000000003,30,491.67,16.39
2024-01-23,Paid Search,3303.58,48,736.45,15.34
2024-01-23,Paid Social,3351.36,41,554.97,13.54
2024-01-24,Affiliates,550.11,13,171.09,13.16
2024-01-24,Email,820.16,16,220.99,13.81
2024-01-24,Organic,3878.62,47,577.43,12.29
2024-01-24,Paid Search,4256.91,63,857.83,13.62
2024-01-24,Paid Social,3272.47,46,548.91,11.93
2024-01-25,Affiliates,646.69,9,99.39,11.04
2024-01-25,Email,505.98,12,158.12,13.18
2024-01-25,Organic,1661.65,22,350.88,15.95
2024-01-25,Paid Search,3492.79,43,527.08,12.26
2024-01-25,Paid Social,2005.56,31,370.46,11.95
2024-01-26,Affiliates,771.73,10,131.36,13.14
2024-01-26,Email,1265.91,17,187.94,11.06
2024-01-26,Organic,1677.03,26,485.02,18.65
2024-01-26,Paid Search,2670.33,40,697.21,17.43
2024-01-26,Paid Social,1558.76,26,519.37,19.98
2024-01-27,Affiliates,1046.49,16,172.88,10.8
2024-01-27,Email,1133.76,22,245.93,11.18
2024-01-27,Organic,2868.5,44,557.61,12.67
2024-01-27,Paid Search,5003.24,64,825.45,12.9
2024-01-27,Paid Social,3815.61,52,633.09,12.17
2024-01-28,Affiliates,1249.61,17,137.82,8.11
2024-01-28,Email,255.02999999999997,7,178.8,25.54
2024-01-28,Organic,3816.69,52,441.41,8.49
2024-01-28,Paid Search,5078.2699999999995,76,661.18,8.7
2024-01-28,Paid Social,3875.62,47,443.27,9.43
2024-01-29,Affiliates,476.44000000000005,6,144.78,24.13
2024-01-29,Email,907.36,11,197.61,17.96
2024-01-29,Organic,1745.93,25,442.17,17.69
2024-01-29,Paid Search,3398.77,44,688.69,15.65
2024-01-29,Paid Social,2970.93,42,483.26,11.51
2024-01-30,Affiliates,1143.11,13,166.23,12.79
2024-01-30,Email,1960.12,27,273.41,10.13
2024-01-30,Organic,3586.53,45,542.45,12.05
2024-01-30,Paid Search,4674.37,66,772.11,11.7
2024-01-30,Paid Social,2378.2,37,433.08,11.7
2024-01-31,Affiliates,550.81,11,158.18,14.38
2024-01-31,Email,577.3100000000001,9,204.82,22.76
2024-01-31,Organic,2689.91,30,486.7,16.22
2024-01-31,Paid Search,2539.71,40,711.8,17.79
2024-01-31,Paid Social,2067.25,32,466.42,14.58
2024-02-01,Affiliates,786.0500000000001,11,180.26,16.39
2024-02-01,Email,1244.57,21,270.39,12.88
2024-02-01,Organic,3277.2200000000003,47,587.07,12.49
2024-02-01,Paid Search,4450.43,68,850.15,12.5
2024-02-01,Paid Social,2610.54,35,548.09,15.66
2024-02-02,Affiliates,937.7,10,142.92,14.29
2024-02-02,Email,1448.29,21,245.65,11.7
2024-02-02,Organic,2507.59,37,560.52,15.15
2024-02-02,Paid Search,4414.4800000000005,63,783.83,12.44
2024-02-02,Paid Social,3741.8399999999997,56,500.22,8.93
2024-02-03,Affiliates,471.03000000000003,10,126.94,12.69
2024-02-03,Email,1462.63,19,192.68,10.14
2024-02-03,Organic,5053.03,68,571.25,8.4
2024-02-03,Paid Search,7317.64,99,834.2,8.43
2024-02-03,Paid Social,3197.2200000000003,45,541.78,12.04
2024-02-04,Affiliates,1403.38,15,141.52,9.43
2024-02-04,Email,1428.86,15,190.66,12.71
2024-02-04,Organic,3529.2,45,505.15,11.23
2024-02-04,Paid Search,5375.24,76,668.29,8.79
2024-02-04,Paid Social,3192.57,41,459.94,11.22
2024-02-05,Affiliates,1135.93,13,171.49,13.19
2024-02-05,Email,885.66,12,256.09,21.34
2024-02-05,Organic,3737.69,45,525.9,11.69
2024-02-05,Paid Search,4848.37,71,788.85,11.11
2024-02-05,Paid Social,2912.38,37,544.19,14.71
2024-02-06,Affiliates,971.64,11,185.5,16.86
2024-02-06,Email,1168.52,16,178.8,11.18
2024-02-06,Organic,2704.61,44,572.16,13.0
2024-02-06,Paid Search,4497.04,63,748.72,11.88
2024-02-06,Paid Social,3699.33,46,549.81,11.95
2024-02-07,Affiliates,1256.0,16,148.2,9.26
2024-02-07,Email,589.25,11,174.14,15.83
2024-02-07,Organic,2767.96,39,379.76,9.74
2024-02-07,Paid Search,3310.5,55,639.12,11.62
2024-02-07,Paid Social,2827.45,42,511.29,12.17
2024-02-08,Affiliates,1057.68,11,151.43,13.77
2024-02-08,Email,521.23,13,237.97,18.31
2024-02-08,Organic,3206.18,42,574.49,13.68
2024-02-08,Paid Search,4504.3,72,877.36,12.19
2024-02-08,Paid Social,3353.08,48,562.47,11.72
2024-02-09,Affiliates,563.99,8,179.78,22.47
2024-02-09,Email,887.0799999999999,10,245.87,24.59
2024-02-09,Organic,2340.86,31,690.02,22.26
2024-02-09,Paid Search,4400.56,60,917.39,15.29
2024-02-09,Paid Social,2668.92,34,610.71,17.96
2024-02-10,Affiliates,356.04,8,143.71,17.96
2024-02-10,Email,2118.6,28,255.25,9.12
2024-02-10,Organic,3373.1,56,516.94,9.23
2024-02-10,Paid Search,6281.15,80,697.12,8.71
2024-02-10,Paid Social,4643.86,71,531.95,7.49
2024-02-11,Affiliates,488.0,7,146.37,20.91
2024-02-11,Email,833.9,12,222.74,18.56
2024-02-11,Organic,2749.2000000000003,41,555.79,13.56
2024-02-11,Paid Search,5804.39,71,700.04,9.86
2024-02-11,Paid Social,2263.21,33,496.39,15.04
2024-02-12,Affiliates,1547.23,14,137.21,9.8
2024-02-12,Email,1055.69,11,173.93,15.81
2024-02-12,Organic,3543.4700000000003,48,539.18,11.23
2024-02-12,Paid Search,4221.82,60,601.02,10.02
2024-02-12,Paid Social,4772.88,58,481.2,8.3
2024-02-13,Affiliates,778.21,13,124.16,9.55
2024-02-13,Email,908.05,14,153.18,10.94
2024-02-13,Organic,3826.86,50,432.14,8.64
2024-02-13,Paid Search,3946.83,55,515.99,9.38
2024-02-13,Paid Social,2959.58,45,386.99,8.6
2024-02-14,Affiliates,1350.8,14,206.01,14.72
2024-02-14,Email,1392.05,17,284.35,16.73
2024-02-14,Organic,2806.56,48,803.73,16.74
2024-02-14,Paid Search,3259.09,47,922.7,19.63
2024-02-14,Paid Social,4160.71,54,684.77,12.68
2024-02-15,Affiliates,2021.55,21,147.09,7.0
2024-02-15,Email,1084.08,16,202.25,12.64
2024-02-15,Organic,2483.3,36,514.81,14.3
2024-02-15,Paid Search,4063.5,56,682.33,12.18
2024-02-15,Paid Social,2962.76,43,496.42,11.54
2024-02-16,Affiliates,563.89,8,150.06,18.76
2024-02-16,Email,601.04,14,167.16,11.94
2024-02-16,Organic,3708.85,55,497.68,9.05
2024-02-16,Paid Search,4389.39,58,653.44,11.27
2024-02-16,Paid Social,3037.7,40,431.2,10.78
2024-02-17,Affiliates,660.97,10,144.66,14.47
2024-02-17,Email,1223.83,18,227.89,12.66
2024-02-17,Organic,4366.8,51,479.55,9.4
2024-02-17,Paid Search,5833.16,83,705.46,8.5
2024-02-17,Paid Social,3205.9900000000002,43,424.07,9.86
2024-02-18,Affiliates,876.8199999999999,12,188.18,15.68
2024-02-18,Email,1286.84,17,217.3,12.78
2024-02-18,Organic,2343.5,38,526.45,13.85
2024-02-18,Paid Search,2976.9,45,761.67,16.93
2024-02-18,Paid Social,2225.57,28,546.61,19.52
2024-02-19,Affiliates,803.96,11,138.92,12.63
2024-02-19,Email,732.92,14,187.84,13.42
2024-02-19,Organic,2627.9700000000003,32,461.78,14.43
2024-02-19,Paid Search,3487.94,44,665.27,15.12
2024-02-19,Paid Social,2436.9,32,502.87,15.71
2024-02-20,Affiliates,586.7,9,167.61,18.62
2024-02-20,Email,893.51,14,278.44,19.89
2024-02-20,Organic,3810.47,50,670.43,13.41
2024-02-20,Paid Search,3089.5,49,946.17,19.31
2024-02-20,Paid Social,3098.19,48,640.69,13.35
2024-02-21,Affiliates,1542.35,18,135.75,7.54
2024-02-21,Email,2058.33,26,195.69,7.53
2024-02-21,Organic,3408.42,42,458.36,10.91
2024-02-21,Paid Search,4965.59,69,583.53,8.46
2024-02-21,Paid Social,2210.28,30,389.61,12.99
2024-02-22,Affiliates,751.12,14,127.94,9.14
2024-02-22,Email,871.62,13,161.17,12.4
2024-02-22,Organic,2507.32,38,455.25,11.98
2024-02-22,Paid Search,4111.84,49,544.98,11.12
2024-02-22,Paid Social,4201.17,44,372.18,8.46
2024-02-23,Affiliates,770.15,14,155.55,11.11
2024-02-23,Email,1905.54,29,265.64,9.16
2024-02-23,Organic,3796.0,47,586.31,12.47
2024-02-23,Paid Search,7503.03,90,808.87,8.99
2024-02-23,Paid Social,3438.9300000000003,52,576.74,11.09
2024-02-24,Affiliates,1944.83,24,189.42,7.89
2024-02-24,Email,1596.53,20,268.93,13.45
2024-02-24,Organic,3032.77,39,577.6,14.81
2024-02-24,Paid Search,3732.98,55,788.07,14.33
2024-02-24,Paid Social,1614.27,25,514.47,20.58
2024-02-25,Affiliates,801.0600000000001,10,137.88,13.79
2024-02-25,Email,1317.6100000000001,17,238.99,14.06
2024-02-25,Organic,2823.2599999999998,49,585.98,11.96
2024-02-25,Paid Search,3257.27,47,767.52,16.33
2024-02-25,Paid Social,2745.47,43,567.6,13.2
2024-02-26,Affiliates,953.17,13,150.94,11.61
2024-02-26,Email,777.11,12,210.84,17.57
2024-02-26,Organic,2723.52,35,639.7,18.28
2024-02-26,Paid Search,4343.79,65,828.97,12.75
2024-02-26,Paid Social,3516.59,48,565.43,11.78
2024-02-27,Affiliates,1677.05,21,195.56,9.31
2024-02-27,Email,628.52,13,222.54,17.12
2024-02-27,Organic,2683.9900000000002,41,566.46,13.82
2024-02-27,Paid Search,3675.34,55,730.55,13.28
2024-02-27,Paid Social,2065.83,30,532.74,17.76
2024-02-28,Affiliates,893.42,16,172.51,10.78
2024-02-28,Email,912.0600000000001,15,200.89,13.39
2024-02-28,Organic,2060.39,31,521.88,16.83
2024-02-28,Paid Search,4275.14,61,783.92,12.85
2024-02-28,Paid Social,3188.22,43,504.41,11.73
2024-02-29,Affiliates,671.23,10,114.44,11.44
2024-02-29,Email,604.35,12,186.17,15.51
2024-02-29,Organic,3035.44,37,415.05,11.22
2024-02-29,Paid Search,2869.5699999999997,34,580.73,17.08
2024-02-29,Paid Social,3224.92,39,411.63,10.55
2024-03-01,Affiliates,724.37,11,116.36,10.58
2024-03-01,Email,928.96,13,174.55,13.43
2024-03-01,Organic,1180.48,18,394.35,21.91
2024-03-01,Paid Search,4254.7,53,538.18,10.15
2024-03-01,Paid Social,2249.28,30,392.73,13.09
2024-03-02,Affiliates,798.03,14,134.24,9.59
2024-03-02,Email,2066.49,27,206.69,7.66
2024-03-02,Organic,4383.88,62,583.85,9.42
2024-03-02,Paid Search,4425.26,65,735.14,11.31
2024-03-02,Paid Social,2300.29,34,470.92,13.85
2024-03-03,Affiliates,793.29,12,137.76,11.48
2024-03-03,Email,1573.6000000000001,19,205.64,10.82
2024-03-03,Organic,3253.24,43,485.14,11.28
2024-03-03,Paid Search,7035.41,87,648.85,7.46
2024-03-03,Paid Social,3146.07,42,519.08,12.36
2024-03-04,Affiliates,1325.6499999999999,16,153.71,9.61
2024-03-04,Email,1525.55,24,231.72,9.65
2024-03-04,Organic,3747.38,53,591.91,11.17
2024-03-04,Paid Search,4291.6,59,763.98,12.95
2024-03-04,Paid Social,3736.58,49,552.91,11.28
2024-03-05,Affiliates,774.95,13,108.36,8.34
2024-03-05,Email,1722.94,22,138.2,6.28
2024-03-05,Organic,2421.24,28,400.46,14.3
2024-03-05,Paid Search,4394.47,62,557.51,8.99
2024-03-05,Paid Social,2281.15,31,365.91,11.8
2024-03-06,Affiliates,853.6800000000001,10,167.57,16.76
2024-03-06,Email,1447.3400000000001,17,171.65,10.1
2024-03-06,Organic,3636.12,51,527.22,10.34
2024-03-06,Paid Search,6149.71,82,698.87,8.52
2024-03-06,Paid Social,2627.75,40,478.18,11.95
2024-03-07,Affiliates,1406.99,19,173.29,9.12
2024-03-07,Email,1692.28,16,188.27,11.77
2024-03-07,Organic,3224.65,54,541.27,10.02
2024-03-07,Paid Search,5043.03,63,748.8,11.89
2024-03-07,Paid Social,3549.97,51,487.79,9.56
2024-03-08,Affiliates,514.62,7,146.47,20.92
2024-03-08,Email,786.09,11,231.73,21.07
2024-03-08,Organic,2855.16,44,585.88,13.32
2024-03-08,Paid Search,3600.71,49,714.86,14.59
2024-03-08,Paid Social,3159.15,39,507.18,13.0
2024-03-09,Affiliates,906.53,9,173.58,19.29
2024-03-09,Email,669.9300000000001,9,221.38,24.6
2024-03-09,Organic,2543.09,34,699.35,20.57
2024-03-09,Paid Search,3567.88,47,805.0,17.13
2024-03-09,Paid Social,1667.16,22,616.33,28.02
2024-03-10,Affiliates,476.65,9,178.68,19.85
2024-03-10,Email,1435.81,19,223.91,11.78
2024-03-10,Organic,2737.1,41,563.17,13.74
2024-03-10,Paid Search,4048.28,56,771.24,13.77
2024-03-10,Paid Social,2790.58,42,524.72,12.49
2024-03-11,Affiliates,770.61,10,133.71,13.37
2024-03-11,Email,618.86,9,151.41,16.82
2024-03-11,Organic,3291.13,42,517.16,12.31
2024-03-11,Paid Search,2699.33,43,696.1,16.19
2024-03-11,Paid Social,1861.72,26,468.0,18.0
2024-03-12,Affiliates,616.5400000000001,9,160.77,17.86
2024-03-12,Email,1176.97,15,284.64,18.98
2024-03-12,Organic,2138.24,33,727.42,22.04
2024-03-12,Paid Search,3231.46,44,864.47,19.65
2024-03-12,Paid Social,2548.56,36,598.27,16.62
2024-03-13,Affiliates,1530.78,24,148.25,6.18
2024-03-13,Email,1313.28,20,219.24,10.96
2024-03-13,Organic,3425.56,42,542.88,12.93
2024-03-13,Paid Search,4284.01,57,672.33,11.8
2024-03-13,Paid Social,2947.84,41,505.29,12.32
2024-03-14,Affiliates,781.39,12,194.16,16.18
2024-03-14,Email,1426.74,16,242.7,15.17
2024-03-14,Organic,3248.0,41,671.48,16.38
2024-03-14,Paid Search,3312.34,57,900.7,15.8
2024-03-14,Paid Social,3285.7999999999997,39,687.66,17.63
2024-03-15,Affiliates,860.35,14,154.38,11.03
2024-03-15,Email,1012.28,17,202.36,11.9
2024-03-15,Organic,3304.9,46,506.95,11.02
2024-03-15,Paid Search,4052.3,54,663.41,12.29
2024-03-15,Paid Social,3626.3,50,559.1,11.18
2024-03-16,Affiliates,1050.44,12,177.77,14.81
2024-03-16,Email,1762.66,21,222.81,10.61
2024-03-16,Organic,3481.84,53,656.58,12.39
2024-03-16,Paid Search,4304.37,65,746.65,11.49
2024-03-16,Paid Social,4900.83,60,566.5,9.44
2024-03-17,Affiliates,555.37,11,153.61,13.96
2024-03-17,Email,1230.76,19,237.4,12.49
2024-03-17,Organic,3121.39,42,579.53,13.8
2024-03-17,Paid Search,4411.05,60,816.93,13.62
2024-03-17,Paid Social,3129.36,41,539.97,13.17
2024-03-18,Affiliates,862.46,13,182.47,14.04
2024-03-18,Email,1716.55,21,239.5,11.4
2024-03-18,Organic,2444.81,37,556.55,15.04
2024-03-18,Paid Search,4678.53,55,775.52,14.1
2024-03-18,Paid Social,2879.19,34,526.89,15.5
2024-03-19,Affiliates,818.2900000000001,12,102.65,8.55
2024-03-19,Email,1515.83,18,234.05,13.0
2024-03-19,Organic,2935.69,45,472.2,10.49
2024-03-19,Paid Search,5244.71,75,749.36,9.99
2024-03-19,Paid Social,3314.17,45,494.79,11.0
2024-03-20,Affiliates,1231.07,14,142.95,10.21
2024-03-20,Email,747.33,14,196.56,14.04
2024-03-20,Organic,3399.08,57,614.25,10.78
2024-03-20,Paid Search,4644.91,63,750.51,11.91
2024-03-20,Paid Social,2521.96,45,529.38,11.76
2024-03-21,Affiliates,1062.99,13,207.92,15.99
2024-03-21,Email,1101.23,19,320.09,16.85
2024-03-21,Organic,4756.25,62,708.57,11.43
2024-03-21,Paid Search,2981.13,43,845.36,19.66
2024-03-21,Paid Social,3007.13,43,653.85,15.21
2024-03-22,Affiliates,182.65,3,156.59,52.2
2024-03-22,Email,1670.06,16,290.08,18.13
2024-03-22,Organic,3956.64,47,687.98,14.64
2024-03-22,Paid Search,4656.89,66,844.58,12.8
2024-03-22,Paid Social,1781.28,28,587.87,21.0
2024-03-23,Affiliates,458.65,11,175.71,15.97
2024-03-23,Email,1323.91,16,266.31,16.64
2024-03-23,Organic,4273.69,62,702.85,11.34
2024-03-23,Paid Search,5038.19,67,947.2,14.14
2024-03-23,Paid Social,4529.97,55,653.43,11.88
2024-03-24,Affiliates,742.07,10,135.35,13.54
2024-03-24,Email,1123.86,20,175.38,8.77
2024-03-24,Organic,2515.73,37,432.73,11.7
2024-03-24,Paid Search,3942.59,51,676.74,13.27
2024-03-24,Paid Social,3401.63,42,486.11,11.57
2024-03-25,Affiliates,1099.74,13,130.45,10.03
2024-03-25,Email,839.7,10,180.48,18.05
2024-03-25,Organic,2525.34,35,419.94,12.0
2024-03-25,Paid Search,3363.28,48,577.19,12.02
2024-03-25,Paid Social,3413.62,43,478.91,11.14
2024-03-26,Affiliates,1263.81,12,159.33,13.28
2024-03-26,Email,1116.49,14,223.07,15.93
2024-03-26,Organic,2882.63,43,541.74,12.6
2024-03-26,Paid Search,5325.34,74,783.02,10.58
2024-03-26,Paid Social,3879.17,57,569.05,9.98
2024-03-27,Affiliates,772.49,12,195.11,16.26
2024-03-27,Email,1664.6100000000001,18,234.63,13.04
2024-03-27,Organic,2373.4,46,575.45,12.51
2024-03-27,Paid Search,5402.5,69,881.7,12.78
2024-03-27,Paid Social,2863.23,37,582.86,15.75
2024-03-28,Affiliates,932.24,8,151.37,18.92
2024-03-28,Email,1480.33,21,213.94,10.19
2024-03-28,Organic,2799.52,40,504.58,12.61
2024-03-28,Paid Search,4106.9,54,668.06,12.37
2024-03-28,Paid Social,2174.43,35,480.36,13.72
2024-03-29,Affiliates,1193.27,17,158.42,9.32
2024-03-29,Email,1599.44,20,211.23,10.56
2024-03-29,Organic,2028.26,31,500.7,16.15
2024-03-29,Paid Search,4493.39,62,608.27,9.81
2024-03-29,Paid Social,3866.75,48,477.23,9.94
2024-03-30,Affiliates,1466.01,19,214.79,11.3
2024-03-30,Email,1097.76,18,300.7,16.71
2024-03-30,Organic,4394.49,60,730.28,12.17
2024-03-30,Paid Search,5524.24,65,907.84,13.97
2024-03-30,Paid Social,3538.9900000000002,53,710.23,13.4
2024-03-31,Affiliates,879.48,9,209.28,23.25
2024-03-31,Email,997.64,13,272.07,20.93
2024-03-31,Organic,2551.11,39,635.7,16.3
2024-03-31,Paid Search,3693.35,47,850.22,18.09
2024-03-31,Paid Social,3472.39,47,648.78,13.8
2024-04-01,Affiliates,1512.81,18,185.06,10.28
2024-04-01,Email,1525.47,22,244.18,11.1
2024-04-01,Organic,5180.83,66,670.85,10.16
2024-04-01,Paid Search,5224.7,79,866.19,10.96
2024-04-01,Paid Social,3392.37,51,604.02,11.84
2024-04-02,Affiliates,1152.08,13,149.32,11.49
2024-04-02,Email,472.24,6,182.05,30.34
2024-04-02,Organic,2201.46,29,509.33,17.56
2024-04-02,Paid Search,4453.42,66,666.83,10.1
2024-04-02,Paid Social,3565.42,54,537.96,9.96
2024-04-03,Affiliates,813.3699999999999,11,133.19,12.11
2024-04-03,Email,1007.4499999999999,15,193.73,12.92
2024-04-03,Organic,1775.03,24,504.5,21.02
2024-04-03,Paid Search,3268.61,43,665.94,15.49
2024-04-03,Paid Social,3009.88,34,520.64,15.31
2024-04-04,Affiliates,931.91,11,184.84,16.8
2024-04-04,Email,785.37,12,260.81,21.73
2024-04-04,Organic,3363.0499999999997,40,653.28,16.33
2024-04-04,Paid Search,3606.1,45,891.3,19.81
2024-04-04,Paid Social,1922.72,28,541.87,19.35
2024-04-05,Affiliates,935.85,13,137.02,10.54
2024-04-05,Email,1015.64,14,208.7,14.91
2024-04-05,Organic,2271.96,35,579.71,16.56
2024-04-05,Paid Search,3620.75,54,701.98,13.0
2024-04-05,Paid Social,3727.0,44,480.64,10.92
2024-04-06,Affiliates,496.6,8,131.89,16.49
2024-04-06,Email,1696.79,20,220.54,11.03
2024-04-06,Organic,2081.14,27,501.63,18.58
2024-04-06,Paid Search,3894.59,53,726.5,13.71
2024-04-06,Paid Social,4058.39,48,581.63,12.12
2024-04-07,Affiliates,1095.54,15,146.0,9.73
2024-04-07,Email,708.08,16,199.47,12.47
2024-04-07,Organic,2754.33,31,456.52,14.73
2024-04-07,Paid Search,6315.76,87,717.68,8.25
2024-04-07,Paid Social,3227.63,45,536.72,11.93
2024-04-08,Affiliates,523.51,9,123.28,13.7
2024-04-08,Email,1406.57,16,198.06,12.38
2024-04-08,Organic,4368.1900000000005,54,535.58,9.92
2024-04-08,Paid Search,4007.66,47,689.18,14.66
2024-04-08,Paid Social,2158.04,34,474.95,13.97
2024-04-09,Affiliates,1754.6200000000001,20,187.97,9.4
2024-04-09,Email,933.9300000000001,11,268.17,24.38
2024-04-09,Organic,3512.9700000000003,48,601.51,12.53
2024-04-09,Paid Search,4326.27,57,842.11,14.77
2024-04-09,Paid Social,5227.14,68,606.52,8.92
2024-04-10,Affiliates,410.71000000000004,7,117.01,16.72
2024-04-10,Email,1248.04,17,175.52,10.32
2024-04-10,Organic,2971.05,39,414.56,10.63
2024-04-10,Paid Search,4766.3,61,586.74,9.62
2024-04-10,Paid Social,2547.33,32,377.79,11.81
2024-04-11,Affiliates,1066.85,13,183.93,14.15
2024-04-11,Email,1725.72,24,232.34,9.68
2024-04-11,Organic,2401.38,32,597.78,18.68
2024-04-11,Paid Search,5276.37,72,834.96,11.6
2024-04-11,Paid Social,2647.65,36,571.16,15.87
2024-04-12,Affiliates,707.2,10,126.89,12.69
2024-04-12,Email,1487.6100000000001,16,177.64,11.1
